"subject","block","trial","rsi","blocktime","rt","transcode","current","other","block_c","difference"
"1",1,2,1100,235.416,780,1,"1","1",-5,2
"1",1,3,1100,235.416,1062,0,"0","0",-5,-2
"1",1,4,1100,235.416,909,0,"0","0",-5,-2
"1",1,5,1100,235.416,1298,0,"1","1",-5,0
"1",1,6,1100,235.416,727,1,"1","0",-5,1
"1",1,7,1100,235.416,1188,0,"1","0",-5,0
"1",1,8,1100,235.416,478,0,"0","0",-5,0
"1",1,9,1100,235.416,709,1,"1","1",-5,2
"1",1,10,1100,235.416,530,0,"1","1",-5,0
"1",1,11,1100,235.416,799,1,"0","0",-5,0
"1",1,12,1100,235.416,864,0,"0","0",-5,0
"1",1,13,1100,235.416,503,1,"1","1",-5,2
"1",1,14,1100,235.416,468,0,"1","0",-5,-1
"1",1,15,1100,235.416,771,1,"0","1",-5,0
"1",1,16,1100,235.416,606,0,"0","0",-5,0
"1",1,17,1100,235.416,1239,1,"1","1",-5,2
"1",1,18,1100,235.416,1367,0,"1","0",-5,-1
"1",1,19,1100,235.416,1001,0,"0","1",-5,0
"1",1,22,1100,235.416,1794,1,"1","1",-5,2
"1",1,23,1100,235.416,1483,0,"0","0",-5,-2
"1",1,24,1100,235.416,1201,1,"1","1",-5,0
"1",1,25,1100,235.416,1314,0,"0","0",-5,0
"1",1,26,1100,235.416,790,1,"1","0",-5,1
"1",1,27,1100,235.416,1568,0,"1","0",-5,0
"1",1,28,1100,235.416,809,0,"0","0",-5,0
"1",1,29,1100,235.416,1283,1,"1","1",-5,2
"1",1,30,1100,235.416,1208,0,"1","0",-5,-1
"1",1,31,1100,235.416,1369,1,"0","1",-5,0
"1",1,32,1100,235.416,1299,0,"0","0",-5,0
"1",1,33,1100,235.416,552,1,"1","1",-5,2
"1",1,34,1100,235.416,812,0,"0","1",-5,-1
"1",1,35,1100,235.416,1389,0,"1","0",-5,0
"1",1,36,1100,235.416,527,1,"0","1",-5,1
"1",1,37,1100,235.416,948,1,"0","1",-5,0
"1",1,38,1100,235.416,959,0,"0","0",-5,0
"1",1,39,1100,235.416,571,1,"1","1",-5,2
"1",1,40,1100,235.416,910,0,"1","1",-5,0
"1",1,41,1100,235.416,867,1,"0","0",-5,0
"1",1,42,1100,235.416,746,1,"0","1",-5,1
